Optimal_Utilization_Range,Min_Avg_Cost_per_Unit,Current_Avg_Cost_per_Unit,Estimated_Savings_Per_Unit,Samples_Analyzed,Module_Name,Optimal_Avg_Efficiency,Estimated_Improvement_If_Low_Reaches_Optimal,Low_Performers_Count,Drivers_Analyzed,DayOfWeek,Recommended_Hour,Traffic_Status,Min_Avg_Penalty,Trips_Analyzed,Rank,Optimal_Waiting_Range,Current_Avg_Penalty,Estimated_Savings_Per_Trip,Optimal_Temperature_Range,Optimal_Humidity_Range,Temp_Records_Analyzed,Humidity_Records_Analyzed
100%+,2.94,2.94,0.0,1000.0,Asset Utilization,,,,,,,,,,,,,,,,,
,,,,,Driver Performance,0.604,0.0,0.0,1.0,,,,,,,,,,,,,
,,,,,Traffic,,,,,Friday,18.0,Detour,0.0,5.0,1.0,,,,,,,
,,,,,Traffic,,,,,Monday,10.0,Clear,7.5,8.0,6.0,,,,,,,
,,,,,Traffic,,,,,Saturday,1.0,Clear,5.0,6.0,2.0,,,,,,,
,,,,,Traffic,,,,,Sunday,3.0,Clear,6.0,5.0,4.0,,,,,,,
,,,,,Traffic,,,,,Thursday,15.0,Detour,6.0,5.0,4.0,,,,,,,
,,,,,Traffic,,,,,Tuesday,8.0,Heavy,30.0,5.0,7.0,,,,,,,
,,,,,Traffic,,,,,Wednesday,8.0,Clear,6.0,5.0,4.0,,,,,,,
,,,,,Waiting Time,,,,,,,,15.64,188.0,,40–50,16.98,1.34,,,,
,,,,,Weather,,,,,,,,2.5,,,,6.61,5.36,20–25°C,30–50%,444.0,1.0
